车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGTN8390LY017446,SGM7137GBA2,7137JRH20,2019/12/16 15:00,库房,3号库,192614271,风尚红,创界,创界 435T RS CVT劲锐版(黑顶)(B-SRF) 20,169900,2019/10/24 0:00,2019/12/16 15:00,厂家到车,FALSE,,,,,
LSGKB54A0KV265675,SGM7102LNA1,7102XK19,2019/12/3 8:47,库房,3号库,183610370,珍珠黑,科鲁泽,科鲁泽 320T手动 欣快版(GB6) 19,89900,2019/2/28 0:00,2019/4/10 11:28,厂家到车,TRUE,,,,,
LSGKB54A5LV063593,SGM7102LBA1,7102HK20,2019/12/13 13:35,库房,3号库,193230018,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/13 13:35,厂家到车,FALSE,,,,,
LSGKB54A9LV063371,SGM7102LBA1,7102HK20,2019/12/22 16:45,店内,门口,193180172,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/13 13:35,厂家到车,FALSE,,,,夏轩颐:(暂定),
LSGKB54AXLV063587,SGM7102LBA1,7102HK20,2019/12/22 16:45,店内,门口,193230020,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/13 13:36,厂家到车,FALSE,,,,夏轩颐:(暂定),
LSGKB54AXLV063539,SGM7102LBA1,7102HK20,2019/12/13 13:36,库房,3号库,193230016,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/13 13:36,厂家到车,FALSE,,,,,
LSGKB54AXLV063542,SGM7102LBA1,7102HK20,2019/12/13 13:36,库房,3号库,193170462,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/13 13:36,厂家到车,FALSE,,,,,
LSGKB54AXLV063069,SGM7102LBA1,7102HK20,2019/12/20 10:13,网点,远大前程,193230014,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/16 15:03,厂家到车,TRUE,,,,,
LSGKB54A4LV063102,SGM7102LBA1,7102HK20,2019/12/5 16:36,库房,3号库,193180513,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/5 16:36,厂家到车,FALSE,,,,,
LSGKB54A3LV063642,SGM7102LBA1,7102HK20,2019/12/15 16:59,网点,彭州辰威,193230024,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/20 0:00,2019/12/13 13:35,厂家到车,TRUE,,,,,
LSGKB54A1LV063333,SGM7102LBA1,7102HK20,2019/12/16 15:04,库房,3号库,193220384,陨铁灰,科鲁泽,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20,104900,2019/11/19 0:00,2019/12/16 15:04,厂家到车,FALSE,,,,张飞:徐成金,
LSGKB54A5LV021179,SGM7102LBA1,7102SK20,2019/12/16 15:55,库房,3号库,192430249,风尚红,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/9/5 0:00,2019/9/26 11:12,厂家到车,TRUE,,,,,
LSGKB54AXLV008296,SGM7102LBA1,7102SK20,2019/8/30 16:28,库房,3号库,192180386,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/13 0:00,2019/8/30 16:28,厂家到车,TRUE,,,,,
LSGKB54A5KV353282,SGM7102LBA1,7102SK19,2019/10/30 11:06,网点,华阳远大白沙,191430814,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/24 0:00,2019/9/28 10:02,厂家到车,TRUE,,,,,
LSGKB54A8KV354118,SGM7102LBA1,7102SK19,2019/12/19 15:21,店内,门口,191440461,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/26 0:00,2019/11/11 14:40,厂家到车,FALSE,,,,173****873:(暂定),
