vin,bonus,reserve,calldt,kpdt,fpcode,
LSGKH841XKY026892,0,-104930,2018/12/24 0:00,2018/12/24 0:00,3116870492,
LSGGJ5456JS248228,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116867828,
LSGGJ5459JS247865,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116867827,
LSGGJ5451JS247858,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116867826,
LSGZG53L6KS000215,-131940,-79164,2018/12/26 0:00,2018/12/26 0:00,3116878499,
LSGGJ5459KS005353,-101940,-61164,2018/12/26 0:00,2018/12/26 0:00,3116879457,
LSGGJ5453KS005347,-101940,-61164,2018/12/26 0:00,2018/12/26 0:00,3116879456,
LSGKB52H7KV218563,-59940,-35964,2018/12/27 0:00,2018/12/27 0:00,3116889611,
LSGKB52H3KV218575,-59940,-35964,2018/12/27 0:00,2018/12/27 0:00,3116889612,
LSGKB52H7KV218577,-59940,-35964,2018/12/27 0:00,2018/12/27 0:00,3116889613,
LSGKB52H6KV218554,-59940,-35964,2018/12/27 0:00,2018/12/27 0:00,3116889614,
LSGKB52H9KV218922,0,-95904,2018/12/27 0:00,2018/12/27 0:00,3116889609,
LSGKB52H2KV218650,0,-95904,2018/12/27 0:00,2018/12/27 0:00,3116889610,
1G1F91RXXJ0171337,-239940,-143964,2018/12/28 0:00,2018/12/28 0:00,3116905507,
LSGKB52H8KV230530,-59940,-35964,2019/1/6 0:00,2019/1/6 0:00,3116944839,
LSGKB52H2KV230474,-59940,-35964,2019/1/6 0:00,2019/1/6 0:00,3116944841,
LSGKB52H3KV230337,-59940,-35964,2019/1/6 0:00,2019/1/6 0:00,3116944840,
LSGXC835XKV226004,-88822,-103082,2019/1/7 0:00,2019/1/7 0:00,3116946939,
LSGGJ5455JS253131,-100000,-72704,2019/1/8 0:00,2019/1/8 0:00,3116954110,
LSGGJ5459JS253309,-100000,-72704,2019/1/8 0:00,2019/1/8 0:00,3116954109,
LSGGJ5455JS253307,-100000,-72704,2019/1/8 0:00,2019/1/8 0:00,3116954108,
LSGGJ5454KS012467,-100000,-63104,2019/1/8 0:00,2019/1/8 0:00,3116954113,
LSGGJ5454KS012453,-100000,-63104,2019/1/8 0:00,2019/1/8 0:00,3116954111,
LSGGJ5458KS012312,-100000,-63104,2019/1/8 0:00,2019/1/8 0:00,3116954112,
LSGZG53L1KS006925,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946944,
LSGZG53L1KS005421,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946945,
LSGZG53L1KS006696,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946946,
LSGZG53LXKS006809,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946948,
LSGZG53L7KS006377,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946947,
LSGZG53L8KS006971,0,-196704,2019/1/7 0:00,2019/1/7 0:00,3116946943,
LSGZG53L1KS006486,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946949,
LSGZG53L7KS007142,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946951,
LSGZG53L7KS006248,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946950,
LSGXC8355KV226606,0,-191904,2019/1/7 0:00,2019/1/7 0:00,3116946940,
LSGXC8352KV226739,0,-191904,2019/1/7 0:00,2019/1/7 0:00,3116946938,
LSGXC835XKV226374,0,-191904,2019/1/7 0:00,2019/1/7 0:00,3116946937,
LSGZG53L4KS006174,0,-196704,2019/1/7 0:00,2019/1/7 0:00,3116946942,
LSGZG53L0KS006348,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946952,
LSGZG53L2KS006545,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946953,
LSGZG53L6KS005978,0,-196704,2019/1/7 0:00,2019/1/7 0:00,3116946941,
LSGZG53L3KS006392,0,-187104,2019/1/7 0:00,2019/1/7 0:00,3116946954,
LSGKB52H6KV238528,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982271,
LSGKB52H0KV238959,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982269,
LSGKB52H6KV238870,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982274,
LSGKB52H8KV238773,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982275,
LSGKB52H6KV238917,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982272,
LSGKB52H0KV238511,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982273,
LSGKB52H6KV238433,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982276,
LSGKB52H5KV238732,-45000,-50904,2019/1/13 0:00,2019/1/13 0:00,3116982270,
LSGKH8410KY030398,-89940,-53964,2019/1/14 0:00,2019/1/14 0:00,3116986785,
LSGKH8419KY030335,-75084,-68820,2019/1/14 0:00,2019/1/14 0:00,3116986786,
