车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGKB5416LV038069,SGM7132LBA1,7132CK20,2019/12/26 16:15,库房,3号库,192584871,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/26 16:15,厂家到车,FALSE,,,,,
LSGKB5417LV038050,SGM7132LBA1,7132CK20,2019/12/26 16:10,库房,3号库,192584852,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/26 16:10,厂家到车,FALSE,,,,,
LSGKB5418LV037635,SGM7132LBA1,7132CK20,2019/12/26 16:12,库房,3号库,192604340,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/26 16:12,厂家到车,FALSE,,,,,
LSGKB5414LV038278,SGM7132LBA1,7132CK20,2019/12/26 16:12,库房,3号库,192624084,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/26 16:12,厂家到车,FALSE,,,,,
LSGKB5412LV038151,SGM7132LBA1,7132CK20,2019/12/27 17:13,库房,3号库,192624086,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/27 17:13,厂家到车,FALSE,,,,,
LSGKB5411LV038223,SGM7132LBA1,7132CK20,2019/12/28 17:16,库房,3号库,192615209,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/28 17:16,厂家到车,FALSE,,,,,
LSGKB5414LV037812,SGM7132LBA1,7132CK20,2019/12/28 17:17,库房,3号库,192605119,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/28 17:17,厂家到车,FALSE,,,,,
LSGKB5419LV037661,SGM7132LBA1,7132CK20,2019/12/28 17:28,库房,3号库,192604342,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/28 17:28,厂家到车,FALSE,,,,,
LSGKB5417LV038131,SGM7132LBA1,7132CK20,2019/12/28 17:29,库房,3号库,192614985,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/28 17:29,厂家到车,FALSE,,,,,
LSGKB5419LV037983,SGM7132LBA1,7132CK20,2019/12/28 17:24,库房,3号库,192605124,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/28 17:24,厂家到车,FALSE,,,,,
LSGKB5418LV038073,SGM7132LBA1,7132CK20,2019/12/25 17:01,库房,3号库,192584868,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/25 17:01,厂家到车,FALSE,,,,,
LSGKB5410LV037970,SGM7132LBA1,7132CK20,2019/12/25 17:04,库房,3号库,192474521,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/25 17:04,厂家到车,FALSE,,,,,
LSGKB541XLV037832,SGM7132LBA1,7132CK20,2019/12/31 9:06,库房,3号库,192604001,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/31 9:06,厂家到车,FALSE,,,,,
LSGKB541XLV037748,SGM7132LBA1,7132CK20,2019/12/31 9:06,库房,3号库,192604345,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/31 9:06,厂家到车,FALSE,,,,,
LSGKB5417LV037819,SGM7132LBA1,7132CK20,2019/12/28 17:27,库房,3号库,192605202,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/28 17:27,厂家到车,FALSE,,,,,
LSGKB5417LV038002,SGM7132LBA1,7132CK20,2019/12/31 9:03,库房,3号库,192604567,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/31 9:03,厂家到车,FALSE,,,,,
LSGKB5415LV038192,SGM7132LBA1,7132CK20,2019/12/31 9:08,库房,3号库,192615107,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/31 9:08,厂家到车,FALSE,,,,,
LSGKB5413LV037574,SGM7132LBA1,7132CK20,2019/12/31 9:16,库房,3号库,192614010,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/31 9:16,厂家到车,FALSE,,,,,
LSGKB5413LV037915,SGM7132LBA1,7132CK20,2019/12/31 9:17,库房,3号库,192624762,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2019/12/31 9:17,厂家到车,FALSE,,,,,
LSGKB5415LV037527,SGM7132LBA1,7132CK20,2020/1/1 9:35,库房,3号库,192615076,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/29 0:00,2020/1/1 9:35,厂家到车,FALSE,,,,,
LSGKB5414LV038362,SGM7132LBA1,7132CK20,2019/12/31 9:06,库房,3号库,192624140,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/30 0:00,2019/12/31 9:06,厂家到车,FALSE,,,,,
LSGKB5410LV038603,SGM7132LBA1,7132CK20,2019/12/28 17:25,库房,3号库,192624467,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/30 0:00,2019/12/28 17:25,厂家到车,FALSE,,,,,
LSGKB5412LV038389,SGM7132LBA1,7132CK20,2019/12/28 17:26,库房,3号库,192634101,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/30 0:00,2019/12/28 17:26,厂家到车,FALSE,,,,,
LSGKB5413LV038417,SGM7132LBA1,7132CK20,2019/12/28 17:27,库房,3号库,192624365,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/30 0:00,2019/12/28 17:27,厂家到车,FALSE,,,,,
LSGKB5410LV038536,SGM7132LBA1,7132CK20,2019/12/28 17:22,库房,3号库,192634121,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/30 0:00,2019/12/28 17:22,厂家到车,FALSE,,,,,
LSGKB5415LV038354,SGM7132LBA1,7132CK20,2019/12/28 17:23,库房,3号库,192634126,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/30 0:00,2019/12/28 17:23,厂家到车,FALSE,,,,,
LSGKB5413LV060580,SGM7132LBA1,7132CK20,2019/12/31 13:02,网点,华阳远大籍田,193124597,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/15 0:00,2019/12/26 16:09,厂家到车,TRUE,,,,,
LSGKB5417LV060758,SGM7132LBA1,7132CK20,2019/12/28 9:38,网点,华阳远大前程,193124677,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/15 0:00,2019/12/27 17:13,厂家到车,TRUE,,,,,
LSGKB5412LV031054,SGM7132LBA1,7132TK20,2020/1/4 10:33,店内,门口,192534578,闪电白,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/20 0:00,2019/10/16 14:30,厂家到车,TRUE,,,,,
LSGZG5394KS070493,SGM7136EBA2,7136RL19,2020/1/20 9:04,店内,展厅,191382153,闪电白,迈锐宝XL,全新迈锐宝XL 535T 锐联版(B-SRF) 19,174900,2019/6/2 0:00,2019/12/26 16:08,厂家到车,FALSE,,,,,
LSGZG53L1KS088963,SGM7206EBA1,7206RL19,2020/1/17 10:27,店内,展厅,192330516,风尚红,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/23 0:00,2019/9/23 11:23,厂家到车,TRUE,,,,,
LSGZG53L4KS124936,SGM7206EBA1,7206RL19,2020/1/23 9:36,库房,3号库,193600063,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/12/29 0:00,2020/1/23 9:36,厂家到车,FALSE,,,,,
LSGXC8358KV423575,SGM6479DBA1,6479CJ6195,2019/11/14 16:48,库房,3号库,192833941,玄铁灰,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/10/12 0:00,2019/11/14 16:48,厂家到车,TRUE,,,,,
LSGXC8358KV348473,SGM6479DBA1,6479YJ6195,2020/1/21 11:00,店内,展厅,191363761,闪电白,探界者,探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5,199900,2019/5/20 0:00,2019/6/12 15:24,厂家到车,TRUE,,,,,
LSGXC8356KV427155,SGM6479DBA1,6479YJ6195,2020/1/16 15:12,库房,3号库,192873114,玄铁灰,探界者,探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5,199900,2019/11/1 0:00,2020/1/16 15:12,厂家到车,FALSE,,,,,
LSGXC835XKV427241,SGM6479DBA1,6479YJ6195,2020/1/16 15:13,库房,3号库,192873115,玄铁灰,探界者,探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5,199900,2019/11/1 0:00,2020/1/16 15:13,厂家到车,FALSE,,,,,
LSGXC83L5KV434757,SGM6479DBX2,6479TJ6195,2020/1/16 15:12,库房,3号库,193165314,月光银,探界者,探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5,225900,2019/12/3 0:00,2020/1/16 15:12,厂家到车,FALSE,,,,,
LSGKH8419KY067207,SGM6479LBA2,6479ATZX195,2020/1/21 13:52,库房,3号库,192954193,闪电白,沃兰多,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5,149900,2019/11/26 0:00,2020/1/21 13:52,厂家到车,FALSE,,,,,
LSGKH8410KY067290,SGM6479LBA2,6479ATZX195,2020/1/21 13:52,库房,3号库,192954190,闪电白,沃兰多,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5,149900,2019/11/26 0:00,2020/1/21 13:52,厂家到车,FALSE,,,,,
LSGKH8410KY069010,SGM6479LBA2,6479ATZX195,2020/1/21 13:53,库房,3号库,193114423,玄铁灰,沃兰多,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5,149900,2019/12/6 0:00,2020/1/21 13:53,厂家到车,FALSE,,,,,
